fecha,producto,tipo_producto,marca,categoria,cantidad,precio_unitario,precio_total,metodo_pago,comprobante
2024-01-05,malla_mosquitera,1x1m,,accesorios,7.0,42.03,294.21,plin,factura
2024-01-05,led_tira,5m,Genérico,,1.0,144.82,144.82,efectivo,factura
2024-01-05,sellador_termico,spray,,pinturas,4.0,59.4,237.6,plin,boleta
2024-01-05,cemento,saco 50kg,Cementos Sol,material_construccion,15.0,33.96,509.4,efectivo,boleta
2024-01-05,cemento,saco 50kg,Pacasmayo,material_construccion,10.0,32.27,322.7,yape,factura
2024-01-05,tarugos,plástico 10mm,Fixser,fijacion,39.0,1.43,55.77,tarjeta,boleta
2024-01-05,grava,triturada,Ladrillera Virú,material_construccion,2.0,63.42,126.84,tarjeta,boleta
2024-01-05,tornillos,metal 4x20,Fijesa,fijacion,35.0,0.08,2.8,plin,boleta
2024-01-05,adhesivo,epoxico 2k,Sika,material_construccion,2.0,239.64,479.28,efectivo,boleta
2024-01-05,martillo,maza 1kg,Bahco,herramientas,1.0,113.24,113.24,yape,boleta
2024-01-05,candado,disco,Tesa,accesorios,3.0,177.87,533.61,yape,boleta
2024-01-05,sellador_silicon,300ml,3M,accesorios,1.0,57.54,57.54,tarjeta,factura
2024-01-05,caja_herramientas,metal,Stanley,accesorios,3.0,106.36,319.08,yape,boleta
2024-01-05,arena,,Ladrillera Virú,material_construccion,1.0,39.06,39.06,yape,boleta
2024-01-05,arena,,Ladrillera Virú,material_construccion,1.0,38.79,38.79,transferencia,factura
2024-01-05,fierro_corrugado,3/8,Aceros Arequipa,material_construccion,13.0,36.76,477.88,efectivo,factura
2024-01-05,tornillos,,Fijesa,fijacion,34.0,0.1,3.4,efectivo,boleta
2024-01-05,pegamento_contacto,contacto 1L,Tekbond,material_construccion,1.0,46.84,46.84,yape,boleta
2024-01-05,cemento,saco 42.5kg,Cementos Inka,material_construccion,12.0,41.47,497.64,efectivo,boleta
2024-01-05,casco,fibra,3M,seguridad_industrial,1.0,145.08,145.08,efectivo,factura
,brocha,"3""",Pretul,pinturas,5.0,39.79,198.95,plin,boleta
2024-01-05,adhesivo,epoxico 2k,Pegatodo,material_construccion,1.0,220.35,220.35,yape,
2024-01-05,arena,gruesa,Ladrillera Virú,material_construccion,1.0,59.49,59.49,efectivo,boleta
,rodillo,mini,Pintuco,pinturas,3.0,30.88,92.64,plin,boleta
2024-01-05,ladrillo,Techo,Fortaleza,material_construccion,2418.0,1.58,3820.44,yape,boleta
2024-01-05,cemento,saco 42.5kg,Pacasmayo,material_construccion,11.0,46.8,514.8,tarjeta,factura
2024-01-05,grava,triturada,Ladrillera Virú,material_construccion,3.0,77.52,232.56,yape,boleta
2024-01-06,arena,fina,Ladrillera Virú,material_construccion,1.0,37.47,37.47,efectivo,boleta
2024-01-06,llave_inglesa,,Truper,herramientas,1.0,126.82,126.82,transferencia,boleta
2024-01-06,arena,fina,Ladrillera Virú,material_construccion,2.0,44.4,88.8,efectivo,boleta
2024-01-06,cemento,saco 50kg,Pacasmayo,material_construccion,10.0,30.6,306.0,yape,factura
2024-01-06,rodillo,mediano,Pintuco,pinturas,1.0,43.15,43.15,yape,boleta
2024-01-06,serrucho,,Stanley,herramientas,1.0,185.2,185.2,efectivo,
2024-01-06,arena,fina,Ladrillera Virú,material_construccion,1.0,59.77,59.77,plin,boleta
2024-01-06,,thinner 1L,Comex,pinturas,3.0,56.57,169.71,yape,boleta
2024-01-06,ladrillo,King Kong,Fortaleza,,2383.0,3.05,7268.15,,boleta
2024-01-06,fierro_corrugado,3/8,Aceros Arequipa,material_construccion,14.0,28.53,399.42,yape,boleta
2024-01-06,thinner,thinner 1L,Comex,pinturas,2.0,40.38,80.76,plin,boleta
2024-01-06,grava,triturada,Ladrillera Virú,material_construccion,2.0,53.89,107.78,plin,boleta
2024-01-06,ladrillo,Pandereta,Fortaleza,material_construccion,2913.0,2.34,6816.42,efectivo,boleta
2024-01-06,ladrillo,Techo,Fortaleza,,2652.0,2.84,7531.68,efectivo,
2024-01-06,ladrillo,Techo,Cerámica Lark,material_construccion,864.0,3.31,2859.84,plin,factura
2024-01-06,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,14.0,37.0,518.0,efectivo,boleta
2024-01-06,fierro_corrugado,3/8,Aceros Arequipa,material_construccion,11.0,26.48,291.28,efectivo,boleta
2024-01-06,grava,triturada,Ladrillera Virú,material_construccion,2.0,41.77,83.54,yape,boleta
2024-01-06,fierro_corrugado,5/8,Aceros Arequipa,material_construccion,16.0,26.64,426.24,yape,boleta
2024-01-06,pegamento_contacto,contacto 1L,Pegatodo,material_construccion,2.0,27.2,54.4,transferencia,boleta
2024-01-06,grava,triturada,Ladrillera Virú,material_construccion,1.0,39.93,39.93,yape,boleta
2024-01-06,fierro_corrugado,5/8,Aceros Arequipa,material_construccion,18.0,26.07,469.26,tarjeta,boleta
2024-01-06,adhesivo,contacto 1L,Pegatodo,material_construccion,4.0,50.14,200.56,,boleta
2024-01-06,cemento,saco 50kg,Unacem,material_construccion,10.0,36.05,360.5,tarjeta,factura
2024-01-06,grava,triturada,,material_construccion,3.0,error,204.18,efectivo,boleta
2024-01-06,ladrillo,Pandereta,Cerámica Lark,material_construccion,1306.0,2.17,,efectivo,boleta
2024-01-06,grava,zarandeada,Ladrillera Virú,material_construccion,3.0,65.17,195.51,yape,boleta
2024-01-06,cemento,saco 42.5kg,Cementos Sol,material_construccion,17.0,,588.71,yape,boleta
2024-01-06,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,15.0,26.12,391.8,efectivo,boleta
2024-01-06,brocha,"3""",Truper,pinturas,1.0,27.34,27.34,transferencia,boleta
2024-01-06,cemento,saco 50kg,Cementos Inka,material_construccion,11.0,40.32,443.52,tarjeta,factura
2024-01-06,cemento,saco 42.5kg,Pacasmayo,material_construccion,11.0,36.25,error,yape,boleta
2024-01-06,adhesivo,epoxico 2k,Sika,material_construccion,3.0,136.67,410.01,yape,boleta
2024-01-06,ladrillo,Techo,Ladrillera Virú,material_construccion,1779.0,1.31,2330.49,plin,
2024-01-06,cemento,saco 42.5kg,Unacem,material_construccion,16.0,38.41,614.56,efectivo,boleta
2024-01-06,cemento,saco 50kg,Pacasmayo,material_construccion,13.0,s/c,483.86,efectivo,boleta
2024-01-07,grava,zarandeada,Ladrillera Virú,material_construccion,1.0,49.11,49.11,transferencia,boleta
2024-01-07,arnes,cinturon,3M,seguridad_industrial,2.0,534.53,1069.06,plin,boleta
2024-01-07,cinta_teflon,blanco,Tigre,gasfiteria,10.0,2.54,25.4,plin,boleta
2024-01-07,,zarandeada,Ladrillera Virú,material_construccion,4.0,59.55,238.2,tarjeta,factura
2024-01-07,arena,gruesa,Ladrillera Virú,material_construccion,4.0,39.75,159.0,efectivo,boleta
2024-01-07,valvula,de paso 3/4,Tigre,gasfiteria,1.0,91.15,91.15,tarjeta,boleta
2024-01-07,cemento,saco 42.5kg,Cementos Sol,material_construccion,14.0,29.9,418.6,yape,boleta
2024-01-07,fierro_corrugado,5/8,Aceros Arequipa,material_construccion,13.0,28.47,370.11,efectivo,factura
2024-01-07,grava,zarandeada,Ladrillera Virú,material_construccion,2.0,37.91,75.82,transferencia,boleta
,alicate,"universal 8""",Irwin,herramientas,3.0,55.5,166.5,plin,boleta
2024-01-07,arena,fina,Ladrillera Virú,material_construccion,2.0,55.5,111.0,,boleta
2024-01-07,cemento,saco 42.5kg,Cementos Sol,material_construccion,13.0,,505.18,efectivo,boleta
2024-01-07,adhesivo,contacto 1L,Pegatodo,material_construccion,2.0,22.08,44.16,yape,boleta
,guantes,PVC,3M,seguridad_industrial,1.0,57.59,57.59,transferencia,boleta
2024-01-07,soldador_inverter,200A,Makita,herramientas,2.0,1312.75,2625.5,plin,boleta
2024-01-07,fierro_corrugado,3/8,Aceros Arequipa,material_construccion,12.0,21.86,262.32,efectivo,boleta
2024-01-07,pintura,latex 1gl,Ecocolor,pinturas,1.0,218.05,218.05,tarjeta,factura
2024-01-07,rodillo,grande,Pintuco,pinturas,3.0,18.42,55.26,efectivo,factura
2024-01-07,clavos,galvanizado kg,Fixser,fijacion,2.0,5.4,10.8,efectivo,
2024-01-07,manguera,jardin 1/2,Tigre,accesorios,4.0,141.98,,transferencia,factura
2024-01-07,grava,zarandeada,Ladrillera Virú,material_construccion,,47.44,94.88,transferencia,factura
2024-01-07,caja_herramientas,plastica,Truper,accesorios,1.0,120.62,120.62,efectivo,factura
2024-01-07,pegamento_contacto,spray,Pegatodo,material_construccion,1.0,54.15,54.15,efectivo,boleta
2024-01-07,grava,,Ladrillera Virú,material_construccion,1.0,57.3,57.3,plin,boleta
2024-01-07,juego_llaves_dados,20pz,Bahco,herramientas,1.0,154.26,154.26,plin,boleta
2024-01-07,cemento,saco 42.5kg,Cementos Sol,material_construccion,11.0,42.33,465.63,yape,boleta
2024-01-08,martillo,uña 16oz,Bahco,herramientas,1.0,99.08,99.08,transferencia,factura
2024-01-08,cortadora_ladrillo,electrica,Bosch,herramientas,1.0,1087.55,1087.55,,boleta
2024-01-08,cemento,saco 42.5kg,Pacasmayo,material_construccion,10.0,46.33,463.3,plin,factura
2024-01-08,arena,gruesa,Ladrillera Virú,material_construccion,3.0,41.5,124.5,transferencia,boleta
2024-01-08,arena,fina,Ladrillera Virú,material_construccion,3.0,45.45,136.35,efectivo,boleta
2024-01-08,led_tira,5m,Philips,electricidad,2.0,129.14,258.28,tarjeta,boleta
2024-01-08,cable,vulcanizado 2.5mm2,Indeco,electricidad,7.0,18.38,128.66,tarjeta,boleta
2024-01-08,malla_mosquitera,1x1m,Genérico,accesorios,2.0,114.8,229.6,efectivo,boleta
2024-01-08,fierro_corrugado,5/8,Aceros Arequipa,material_construccion,14.0,35.75,500.5,tarjeta,boleta
2024-01-08,arena,fina,Ladrillera Virú,,1.0,56.17,N/A,efectivo,factura
2024-01-08,led_tira,5m,Philips,electricidad,2.0,151.48,302.96,yape,boleta
2024-01-08,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,20.0,25.49,509.8,efectivo,boleta
2024-01-08,thinner,diluente 1L,Comex,pinturas,2.0,69.41,138.82,efectivo,boleta
2024-01-08,arena,gruesa,Ladrillera Virú,material_construccion,3.0,,221.58,,boleta
2024-01-08,fierro_corrugado,1/2,Aceros Arequipa,material_construccion,10.0,25.54,255.4,efectivo,boleta
2024-01-08,candado,disco,Tesa,accesorios,,,,yape,boleta
2024-01-08,sierra_circular,"7 1/4""",Makita,herramientas,1.0,499.52,499.52,transferencia,factura
2024-01-08,adhesivo,,Sika,material_construccion,2.0,144.34,288.68,efectivo,boleta
2024-01-08,caja_placa,metal,BTicino,electricidad,3.0,109.23,327.69,yape,boleta
2024-01-08,cemento,saco 50kg,Cementos Sol,material_construccion,14.0,35.31,494.34,plin,boleta
2024-01-08,interruptor,doble,Legrand,electricidad,4.0,--,,transferencia,boleta
2024-01-08,lija,grano 220,3M,pinturas,4.0,5.82,23.28,tarjeta,boleta
2024-01-09,tuberia_pvc,3/4,Pavco,gasfiteria,2.0,33.98,67.96,transferencia,factura
2024-01-09,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,17.0,31.18,530.06,efectivo,boleta
2024-01-09,grava,triturada,Ladrillera Virú,material_construccion,4.0,66.54,266.16,yape,boleta
2024-01-09,tornillos,drywall,Truper,fijacion,32.0,0.27,,plin,
2024-01-09,,contacto 1L,Tekbond,material_construccion,1.0,18.0,18.0,efectivo,boleta
2024-01-09,cortadora_ladrillo,manual,Bosch,herramientas,1.0,936.57,936.57,,factura
2024-01-09,ladrillo,,Cerámica Lark,material_construccion,2770.0,1.23,3407.1,tarjeta,boleta
2024-01-09,lija,grano 220,3M,pinturas,5.0,5.13,25.65,transferencia,boleta
2024-01-09,pernos_bulones,M8,Fijesa,fijacion,28.0,4.44,124.32,efectivo,boleta
2024-01-09,fierro_corrugado,5/8,Aceros Arequipa,material_construccion,15.0,33.26,498.9,plin,boleta
2024-01-09,ladrillo,Pandereta,Fortaleza,material_construccion,942.0,1.67,1573.14,efectivo,boleta
2024-01-09,grava,triturada,Ladrillera Virú,material_construccion,2.0,44.99,89.98,efectivo,boleta
2024-01-09,thinner,diluente 1L,CPP,pinturas,1.0,46.38,46.38,plin,boleta
2024-01-09,fierro_corrugado,1/2,Aceros Arequipa,material_construccion,12.0,27.64,331.68,yape,factura
2024-01-09,calamina,galv 0.3mm,Covema,material_construccion,1.0,59.32,59.32,plin,boleta
2024-01-09,lija,grano 120,Norton,pinturas,4.0,1.46,5.84,efectivo,factura
2024-01-09,juego_llaves_dados,10pz,Stanley,herramientas,3.0,324.47,973.41,plin,boleta
2024-01-09,arena,fina,Ladrillera Virú,material_construccion,1.0,36.73,36.73,tarjeta,factura
2024-01-09,pintura,latex 1gl,Ecocolor,,2.0,140.01,280.02,yape,boleta
2024-01-09,grava,zarandeada,Ladrillera Virú,material_construccion,,54.6,109.2,efectivo,factura
2024-01-09,arena,fina,Ladrillera Virú,material_construccion,1.0,67.44,67.44,efectivo,boleta
2024-01-09,arena,gruesa,Ladrillera Virú,material_construccion,2.0,58.26,116.52,efectivo,boleta
2024-01-09,tuberia_pvc,1,Pavco,gasfiteria,1.0,61.88,61.88,yape,boleta
2024-01-09,grava,triturada,Ladrillera Virú,material_construccion,3.0,39.95,119.85,tarjeta,boleta
2024-01-09,led_tira,5m,Genérico,electricidad,1.0,93.8,93.8,yape,boleta
2024-01-09,ladrillo,Pandereta,Cerámica Lark,material_construccion,2869.0,3.21,9209.49,tarjeta,boleta
2024-01-09,manguera,industrial,Tigre,accesorios,3.0,52.23,156.69,efectivo,boleta
2024-01-10,casco,ABS,Protec,seguridad_industrial,4.0,149.59,598.36,efectivo,boleta
2024-01-10,lija,grano 120,Norton,pinturas,4.0,7.76,31.04,plin,boleta
2024-01-10,,comun kg,Truper,fijacion,4.0,6.41,25.64,transferencia,boleta
2024-01-10,destornillador,Phillips #2,Stanley,herramientas,2.0,52.22,104.44,,boleta
2024-01-10,aspersor_jardin,impacto,Toro,,2.0,112.79,225.58,,boleta
2024-01-10,tuercas_arandelas,hexagonal,Fixser,fijacion,40.0,0.36,14.4,efectivo,boleta
2024-01-10,grava,zarandeada,,material_construccion,2.0,67.83,135.66,tarjeta,boleta
2024-01-10,adhesivo,epoxico 2k,Sika,material_construccion,2.0,167.42,334.84,transferencia,factura
2024-01-10,grava,triturada,Ladrillera Virú,material_construccion,1.0,53.92,53.92,yape,boleta
2024-01-10,fierro_corrugado,,Aceros Arequipa,material_construccion,13.0,28.6,371.8,efectivo,boleta
2024-01-10,manguera,industrial,Tigre,accesorios,,61.61,123.22,efectivo,boleta
2024-01-10,grifos,ducha,Vainsa,gasfiteria,2.0,109.95,219.9,efectivo,boleta
2024-01-10,adhesivo,epoxico 2k,Tekbond,material_construccion,4.0,100.32,401.28,yape,
2024-01-10,calamina,galv 0.3mm,Prodac,material_construccion,4.0,88.47,353.88,efectivo,factura
2024-01-10,caja_herramientas,plastica,Truper,accesorios,2.0,139.84,279.68,transferencia,factura
2024-01-10,arena,fina,Ladrillera Virú,material_construccion,2.0,57.12,,plin,boleta
2024-01-10,ladrillo,King Kong,Fortaleza,material_construccion,2060.0,0.95,1957.0,plin,boleta
2024-01-10,arena,fina,Ladrillera Virú,material_construccion,1.0,33.74,33.74,transferencia,boleta
2024-01-10,ladrillo,King Kong,Ladrillera Virú,material_construccion,2439.0,3.15,7682.85,,factura
2024-01-10,ladrillo,King Kong,Fortaleza,material_construccion,1033.0,2.0,2066.0,efectivo,boleta
2024-01-10,grava,triturada,,material_construccion,1.0,52.32,52.32,plin,factura
2024-01-10,clavos,galvanizado kg,Prodac,fijacion,2.0,4.53,9.06,yape,boleta
2024-01-10,disolvente,disolvente 1L,Comex,pinturas,2.0,53.35,106.7,tarjeta,boleta
2024-01-10,ladrillo,Pandereta,,material_construccion,2479.0,1.06,2627.74,plin,boleta
2024-01-10,pintura,acrilico 1gl,CPP,pinturas,2.0,165.41,330.82,transferencia,boleta
2024-01-10,arena,gruesa,Ladrillera Virú,material_construccion,2.0,59.19,118.38,efectivo,boleta
2024-01-10,pernos_bulones,,Fijesa,fijacion,28.0,3.65,102.2,plin,boleta
2024-01-10,arena,gruesa,Ladrillera Virú,material_construccion,4.0,71.68,286.72,,boleta
2024-01-10,grava,triturada,Ladrillera Virú,material_construccion,1.0,56.73,56.73,yape,boleta
2024-01-10,ladrillo,Techo,Cerámica Lark,material_construccion,1183.0,2.75,3253.25,transferencia,boleta
,tomacorriente,doble,Legrand,electricidad,1.0,81.91,81.91,efectivo,boleta
2024-01-10,arena,gruesa,Ladrillera Virú,material_construccion,4.0,74.18,296.72,efectivo,boleta
2024-01-10,cable,,Cabel,electricidad,7.0,14.36,100.52,,factura
2024-01-10,grava,zarandeada,Ladrillera Virú,material_construccion,3.0,76.86,230.58,transferencia,boleta
2024-01-10,caja_placa,metal,BTicino,electricidad,1.0,60.14,60.14,transferencia,factura
2024-01-11,thinner,thinner 1L,Comex,pinturas,4.0,52.47,209.88,efectivo,boleta
2024-01-11,ladrillo,Pandereta,,material_construccion,833.0,2.03,1690.99,efectivo,boleta
2024-01-11,valvula,esferica 1/2,Tigre,gasfiteria,2.0,23.28,46.56,yape,
2024-01-11,pintura,esmalte 1gl,American Colors,pinturas,1.0,153.73,153.73,efectivo,boleta
2024-01-11,cinta_teflon,blanco,Truper,gasfiteria,8.0,1.66,13.28,transferencia,boleta
2024-01-11,pintura,,CPP,pinturas,1.0,215.79,215.79,yape,boleta
2024-01-11,disolvente,disolvente 1L,Comex,pinturas,4.0,59.78,239.12,transferencia,boleta
2024-01-11,arena,,Ladrillera Virú,material_construccion,2.0,39.36,78.72,efectivo,boleta
2024-01-11,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,11.0,29.6,325.6,tarjeta,factura
2024-01-11,interruptor,simple,Simon,electricidad,3.0,66.09,198.27,efectivo,boleta
2024-01-11,caja_herramientas,metal,Stanley,accesorios,2.0,106.98,213.96,transferencia,boleta
2024-01-11,pegamento_contacto,spray,Pegatodo,material_construccion,2.0,120.65,241.3,efectivo,factura
2024-01-11,interruptor,simple,Legrand,electricidad,2.0,70.21,140.42,plin,boleta
2024-01-11,brocha,"2""",Pretul,pinturas,3.0,7.43,22.29,yape,factura
2024-01-11,grifos,jardin,Tigre,,3.0,201.74,605.22,yape,boleta
2024-01-11,cemento,saco 42.5kg,Pacasmayo,material_construccion,s/c,36.85,405.35,tarjeta,boleta
2024-01-11,cemento,saco 42.5kg,Cementos Sol,material_construccion,10.0,31.49,314.9,tarjeta,boleta
2024-01-11,arena,gruesa,Ladrillera Virú,material_construccion,2.0,41.1,82.2,transferencia,boleta
2024-01-11,arena,gruesa,Ladrillera Virú,material_construccion,2.0,30.59,61.18,plin,boleta
2024-01-11,fierro_corrugado,3/8,Aceros Arequipa,material_construccion,16.0,32.49,519.84,tarjeta,boleta
2024-01-11,grifos,lavadero,FV,gasfiteria,2.0,161.04,322.08,yape,boleta
2024-01-11,malla_mosquitera,1x1m,Genérico,accesorios,4.0,107.67,430.68,transferencia,factura
2024-01-11,,mediano,Truper,pinturas,2.0,21.18,42.36,efectivo,boleta
2024-01-11,,saco 42.5kg,Unacem,material_construccion,13.0,42.62,554.06,plin,boleta
2024-01-11,disolvente,disolvente 1L,CPP,pinturas,2.0,25.22,50.44,yape,factura
2024-01-12,cemento,,Unacem,material_construccion,11.0,33.68,370.48,yape,factura
2024-01-12,thinner,diluente 1L,CPP,pinturas,4.0,41.53,166.12,tarjeta,boleta
2024-01-12,tuercas_arandelas,hexagonal,Fixser,fijacion,43.0,1.27,54.61,efectivo,boleta
2024-01-12,,King Kong,Cerámica Lark,material_construccion,1028.0,0.92,945.76,,boleta
,sellador,masilla 1kg,3M,pinturas,4.0,57.94,231.76,plin,boleta
2024-01-12,grifos,lavadero,Vainsa,gasfiteria,,N/A,70.9,plin,boleta
2024-01-12,llave_tubo,1/2,Truper,herramientas,1.0,127.98,127.98,yape,boleta
2024-01-12,brocha,rodillo,Pretul,pinturas,3.0,43.62,130.86,efectivo,factura
2024-01-12,,esmalte 1gl,Zinsser,pinturas,2.0,--,418.34,yape,factura
2024-01-12,llave_tubo,3/4,Truper,herramientas,1.0,60.98,60.98,efectivo,boleta
2024-01-12,ladrillo,Techo,Ladrillera Virú,material_construccion,2554.0,3.23,8249.42,efectivo,boleta
2024-01-12,grava,triturada,,material_construccion,1.0,71.86,71.86,efectivo,boleta
